product,measurement,name,dtype,units,nodata,aliases,flags_definition
arealstatistik,AS09R_17,AS09R_17,int16,category,0,,
arealstatistik,AS09R_27,AS09R_27,int16,category,0,,
arealstatistik,AS09R_4,AS09R_4,int16,category,0,,
arealstatistik,AS09R_72,AS09R_72,int16,category,0,,
arealstatistik,AS18_17,AS18_17,int16,category,0,,
arealstatistik,AS18_27,AS18_27,int16,category,0,,
arealstatistik,AS18_4,AS18_4,int16,category,0,,
arealstatistik,AS18_72,AS18_72,int16,category,0,,
arealstatistik,AS85_17,AS85_17,int16,category,0,,
arealstatistik,AS85_27,AS85_27,int16,category,0,,
arealstatistik,AS85_4,AS85_4,int16,category,0,,
arealstatistik,AS85_72,AS85_72,int16,category,0,,
arealstatistik,AS97_17,AS97_17,int16,category,0,,
arealstatistik,AS97_27,AS97_27,int16,category,0,,
arealstatistik,AS97_4,AS97_4,int16,category,0,,
arealstatistik,AS97_72,AS97_72,int16,category,0,,
arealstatistik,LC09R_27,LC09R_27,int16,category,0,,
arealstatistik,LC09R_6,LC09R_6,int16,category,0,,
arealstatistik,LC18_27,LC18_27,int16,category,0,,
arealstatistik,LC18_6,LC18_6,int16,category,0,,
arealstatistik,LC85_27,LC85_27,int16,category,0,,
arealstatistik,LC85_6,LC85_6,int16,category,0,,
arealstatistik,LC97_27,LC97_27,int16,category,0,,
arealstatistik,LC97_6,LC97_6,int16,category,0,,
arealstatistik,LU09R_10,LU09R_10,int16,category,0,,
arealstatistik,LU09R_4,LU09R_4,int16,category,0,,
arealstatistik,LU09R_46,LU09R_46,int16,category,0,,
arealstatistik,LU18_10,LU18_10,int16,category,0,,
arealstatistik,LU18_4,LU18_4,int16,category,0,,
arealstatistik,LU18_46,LU18_46,int16,category,0,,
arealstatistik,LU85_10,LU85_10,int16,category,0,,
arealstatistik,LU85_4,LU85_4,int16,category,0,,
arealstatistik,LU85_46,LU85_46,int16,category,0,,
arealstatistik,LU97_10,LU97_10,int16,category,0,,
arealstatistik,LU97_4,LU97_4,int16,category,0,,
arealstatistik,LU97_46,LU97_46,int16,category,0,,
arealstatistik,FJ09,FJ09,int16,year,0,,
arealstatistik,FJ18,FJ18,int16,cyear,0,,
arealstatistik,FJ85,FJ85,int16,year,0,,
arealstatistik,FJ97,FJ97,int16,year,0,,
astgtmv003,elevation,elevation,int16,meter,-9999,"['elev', 'altitude']",
astgtmv003,slope,slope,float32,degrees,-9999,['slp'],
astgtmv003,aspect,aspect,float32,degrees,-9999,"['asp', 'azimuth']",
combiprecip,hourly_precipitation,hourly_precipitation,float32,mm,-9999,[],
corinelc_europe,CLC1990,CLC1990,int16,category,48,,
corinelc_europe,CLC2000,CLC2000,int16,category,48,,
corinelc_europe,CLC2006,CLC2006,int16,category,48,,
corinelc_europe,CLC2012,CLC2012,int16,category,48,,
corinelc_europe,CLC2018,CLC2018,int16,category,48,,
corinelc_switzerland,CLC1990_CH,CLC1990_CH,int16,category,255,,
GE1,blue,blue,uint16,1,0,['band_3'],
GE1,green,green,uint16,1,0,['band_2'],
GE1,nir,nir,uint16,1,0,['band_4'],
GE1,red,red,uint16,1,0,['band_1'],
landsat_etm_c2_l2,SR_B1,SR_B1,uint16,1,0,"['band_1', 'blue']",
landsat_etm_c2_l2,SR_B2,SR_B2,uint16,1,0,"['band_2', 'green']",
landsat_etm_c2_l2,SR_B3,SR_B3,uint16,1,0,"['band_3', 'red']",
landsat_etm_c2_l2,SR_B4,SR_B4,uint16,1,0,"['band_4', 'nir']",
landsat_etm_c2_l2,SR_B5,SR_B5,uint16,1,0,"['band_5', 'swir_1']",
landsat_etm_c2_l2,SR_B7,SR_B7,uint16,1,0,"['band_7', 'swir_2']",
landsat_etm_c2_l2,QA_PIXEL,QA_PIXEL,uint16,bit_index,1,"['pq', 'pixel_quality']","{'snow': {'bits': 5, 'values': {'0': 'not_high_confidence', '1': 'high_confidence'}}, 'clear': {'bits': 6, 'values': {'0': False, '1': True}}, 'cloud': {'bits': 3, 'values': {'0': 'not_high_confidence', '1': 'high_confidence'}}, 'water': {'bits': 7, 'values': {'0': 'land_or_cloud', '1': 'water'}}, 'nodata': {'bits': 0, 'values': {'0': False, '1': True}}, 'cloud_shadow': {'bits': 4, 'values': {'0': 'not_high_confidence', '1': 'high_confidence'}}, 'dilated_cloud': {'bits': 1, 'values': {'0': 'not_dilated', '1': 'dilated'}}, 'cloud_confidence': {'bits': [8, 9], 'values': {'0': 'none', '1': 'low', '2': 'medium', '3': 'high'}}, 'snow_ice_confidence': {'bits': [12, 13], 'values': {'0': 'none', '1': 'low', '2': 'reserved', '3': 'high'}}, 'cloud_shadow_confidence': {'bits': [10, 11], 'values': {'0': 'none', '1': 'low', '2': 'reserved', '3': 'high'}}}"
landsat_etm_c2_l2,QA_RADSAT,QA_RADSAT,uint16,bit_index,0,"['radsat', 'radiometric_saturation']","{'dropped_pixel': {'bits': 9, 'values': {'0': False, '1': True}}, 'nir_saturation': {'bits': 3, 'values': {'0': False, '1': True}}, 'red_saturation': {'bits': 2, 'values': {'0': False, '1': True}}, 'blue_saturation': {'bits': 0, 'values': {'0': False, '1': True}}, 'green_saturation': {'bits': 1, 'values': {'0': False, '1': True}}, 'tir_h_saturation': {'bits': 8, 'values': {'0': False, '1': True}}, 'tir_l_saturation': {'bits': 5, 'values': {'0': False, '1': True}}, 'band_1_saturation': {'bits': 0, 'values': {'0': False, '1': True}}, 'band_2_saturation': {'bits': 1, 'values': {'0': False, '1': True}}, 'band_3_saturation': {'bits': 2, 'values': {'0': False, '1': True}}, 'band_4_saturation': {'bits': 3, 'values': {'0': False, '1': True}}, 'band_5_saturation': {'bits': 4, 'values': {'0': False, '1': True}}, 'band_7_saturation': {'bits': 6, 'values': {'0': False, '1': True}}, 'swir_1_saturation': {'bits': 4, 'values': {'0': False, '1': True}}, 'swir_2_saturation': {'bits': 6, 'values': {'0': False, '1': True}}, 'band_6H_saturation': {'bits': 8, 'values': {'0': False, '1': True}}, 'band_6L_saturation': {'bits': 5, 'values': {'0': False, '1': True}}}"
landsat_etm_c2_l2,SR_ATMOS_OPACITY,SR_ATMOS_OPACITY,int16,1,-9999,['atmos_opacity'],
landsat_etm_c2_l2,SR_CLOUD_QA,SR_CLOUD_QA,uint8,bit_index,0,['cloud_qa'],"{'snow': {'bits': 4, 'values': {'0': False, '1': True}}, 'cloud': {'bits': 1, 'values': {'0': False, '1': True}}, 'water': {'bits': 5, 'values': {'0': False, '1': True}}, 'cloud_shadow': {'bits': 2, 'values': {'0': False, '1': True}}, 'adjacent_to_cloud': {'bits': 3, 'values': {'0': False, '1': True}}, 'dark_dense_vegetation': {'bits': 0, 'values': {'0': False, '1': True}}}"
landsat_etm_c2_l2,ST_B6,ST_B6,uint16,Kelvin,0,"['band_6', 'tirs', 'st', 'surface_temperature']",
landsat_etm_c2_l2,ST_TRAD,ST_TRAD,int16,W/(m2.sr.μm),-9999,"['trad', 'thermal_radiance']",
landsat_etm_c2_l2,ST_URAD,ST_URAD,int16,W/(m2.sr.μm),-9999,"['urad', 'upwell_radiance']",
landsat_etm_c2_l2,ST_DRAD,ST_DRAD,int16,W/(m2.sr.μm),-9999,"['drad', 'downwell_radiance']",
landsat_etm_c2_l2,ST_ATRAN,ST_ATRAN,int16,1,-9999,"['atran', 'atmospheric_transmittance']",
landsat_etm_c2_l2,ST_EMIS,ST_EMIS,int16,1,-9999,"['emis', 'emissivity']",
landsat_etm_c2_l2,ST_EMSD,ST_EMSD,int16,1,-9999,"['emsd', 'emissivity_stddev']",
landsat_etm_c2_l2,ST_CDIST,ST_CDIST,int16,Kilometers,-9999,"['cdist', 'cloud_distance']",
landsat_etm_c2_l2,ST_QA,ST_QA,int16,Kelvin,-9999,"['st_qa', 'surface_temperature_quality', 'surface_temperature_uncertainty']",
landsat_ot_c2_l2,SR_B1,SR_B1,uint16,1,0,"['band_1', 'coastal_aerosol']",
landsat_ot_c2_l2,SR_B2,SR_B2,uint16,1,0,"['band_2', 'blue']",
landsat_ot_c2_l2,SR_B3,SR_B3,uint16,1,0,"['band_3', 'green']",
landsat_ot_c2_l2,SR_B4,SR_B4,uint16,1,0,"['band_4', 'red']",
landsat_ot_c2_l2,SR_B5,SR_B5,uint16,1,0,"['band_5', 'nir']",
landsat_ot_c2_l2,SR_B6,SR_B6,uint16,1,0,"['band_6', 'swir_1']",
landsat_ot_c2_l2,SR_B7,SR_B7,uint16,1,0,"['band_7', 'swir_2']",
