collection,product,time_start,time_end,resolution_m
alos_palsar_mosaic,alos_palsar_mosaic,2007-01-01T00:00:00Z,2007-12-31T23:59:59Z,0
cci_landcover,cci_landcover,1992-01-01T00:00:00Z,1992-12-31T23:59:59Z,300
cgls_landcover,cgls_landcover,2015-01-01T00:00:00Z,2015-12-31T23:59:59Z,100
cgls_lwq100_2019_2024,cgls_lwq100_2019_2024,2018-12-21T00:00:00Z,2018-12-31T23:59:59Z,100
cgls_lwq100_2024_nrt,cgls_lwq100_2024_nrt,2024-09-01T00:00:00Z,2024-09-10T23:59:59Z,100
cgls_lwq300_2002_2012,cgls_lwq300_2002_2012,2002-05-11T00:00:00Z,2002-05-20T23:59:59Z,200
cgls_lwq300_2016_2024,cgls_lwq300_2016_2024,2016-04-21T00:00:00Z,2016-04-30T23:59:59Z,200
cgls_lwq300_2024_nrt,cgls_lwq300_2024_nrt,2024-09-01T00:00:00Z,2024-09-10T23:59:59Z,200
crop_mask,crop_mask,2019-01-01T00:00:00Z,2019-12-31T23:59:59.999999Z,1110000
crop_mask_central,crop_mask_central,2019-01-01T00:00:00Z,2019-12-31T23:59:59.999999Z,1110000
crop_mask_eastern,crop_mask_eastern,2019-01-01T00:00:00Z,2019-12-31T23:59:59.999999Z,1110000
crop_mask_indian_ocean,crop_mask_indian_ocean,2019-01-01T00:00:00Z,2019-12-31T23:59:59.999999Z,1110000
