 11:22:28   24.11.2022              Programm Climap                 MeteoSchweiz
Zeitangaben in UTC 0040 (UTC)  =  01:40 Uhr Winterzeit  =  02:40 Uhr Sommerzeit
Auswahlperiode: 01.03.2022 00:00  -  31.05.2022 23:00 UTC 32767 -> Keine Angabe
Anzahl Stationen  1
     6	Delémont                 439 m.ü.M.	593269/ 244543
Anzahl Parameter  2
   211  Lufttemperatur 2 m über Boden; Tagesmittel  [°C]
   236  Niederschlag; Tagessumme 0540 - 0540 Folgetag  [mm]

  STA JAHR MO TG HH MM   211   236
    6 2022  3  1  0  0   1,5   0,0 
    6 2022  3  2  0  0   3,2   0,0 
    6 2022  3  3  0  0   4,5   0,0 
    6 2022  3  4  0  0   1,7   0,0 
    6 2022  3  5  0  0  -0,4   0,0 
    6 2022  3  6  0  0  -0,5   0,0 
    6 2022  3  7  0  0   0,0   0,0 
    6 2022  3  8  0  0   0,2   0,0 
    6 2022  3  9  0  0   2,4   0,0 
    6 2022  3 10  0  0   3,3   0,0 
    6 2022  3 11  0  0   5,0   0,0 
    6 2022  3 12  0  0   7,4   0,0 
    6 2022  3 13  0  0   8,1   0,2 
    6 2022  3 14  0  0   7,8   3,6 
    6 2022  3 15  0  0   7,9   0,1 
    6 2022  3 16  0  0   8,3   0,0 
    6 2022  3 17  0  0   8,6   0,0 
    6 2022  3 18  0  0   8,2   0,0 
    6 2022  3 19  0  0   8,0   0,0 
    6 2022  3 20  0  0   7,9   0,0 
    6 2022  3 21  0  0   6,9   0,0 
    6 2022  3 22  0  0   6,4   0,0 
    6 2022  3 23  0  0   6,7   0,0 
    6 2022  3 24  0  0   7,5   0,0 
    6 2022  3 25  0  0   8,0   0,0 
    6 2022  3 26  0  0   8,3   0,0 
    6 2022  3 27  0  0   8,5   0,0 
    6 2022  3 28  0  0   9,2   0,0 
    6 2022  3 29  0  0  10,3   0,2 
    6 2022  3 30  0  0   9,5  11,9 
    6 2022  3 31  0  0   7,0   2,9 
    6 2022  4  1  0  0   1,3   5,1 
    6 2022  4  2  0  0  -0,3   1,8 
    6 2022  4  3  0  0   0,4   0,3 
    6 2022  4  4  0  0   2,3   0,0 
    6 2022  4  5  0  0   8,5   0,0 
    6 2022  4  6  0  0  10,5   0,5 
    6 2022  4  7  0  0  10,9   5,2 
    6 2022  4  8  0  0  11,6   7,8 
    6 2022  4  9  0  0   3,8   0,2 
    6 2022  4 10  0  0   5,0   0,0 
    6 2022  4 11  0  0   8,4   0,0 
    6 2022  4 12  0  0  12,7   0,0 
    6 2022  4 13  0  0  14,7   0,0 
    6 2022  4 14  0  0  14,5   0,0 
    6 2022  4 15  0  0  14,6   0,0 
    6 2022  4 16  0  0  10,7   0,0 
    6 2022  4 17  0  0   9,7   0,0 
    6 2022  4 18  0  0   8,8   0,0 
    6 2022  4 19  0  0   9,7   0,0 
    6 2022  4 20  0  0   9,6   0,0 
    6 2022  4 21  0  0   9,6   0,0 
    6 2022  4 22  0  0   9,8   0,4 
    6 2022  4 23  0  0  10,2   8,7 
    6 2022  4 24  0  0   8,6  17,7 
    6 2022  4 25  0  0   9,6  20,7 
    6 2022  4 26  0  0   9,3   1,6 
    6 2022  4 27  0  0   9,5   0,0 
    6 2022  4 28  0  0  10,8   0,0 
    6 2022  4 29  0  0  11,6   0,0 
    6 2022  4 30  0  0  10,6   6,8 
    6 2022  5  1  0  0  10,2   0,0 
    6 2022  5  2  0  0  10,8   0,0 
    6 2022  5  3  0  0  11,5   0,2 
    6 2022  5  4  0  0  12,0   0,3 
    6 2022  5  5  0  0  10,9   9,1 
    6 2022  5  6  0  0  10,8   3,6 
    6 2022  5  7  0  0  12,8   1,7 
    6 2022  5  8  0  0  12,8   0,0 
    6 2022  5  9  0  0  15,2   0,0 
    6 2022  5 10  0  0  16,4   0,0 
    6 2022  5 11  0  0  18,6   0,0 
    6 2022  5 12  0  0  18,4   1,5 
    6 2022  5 13  0  0  15,7   1,1 
    6 2022  5 14  0  0  16,5   0,0 
    6 2022  5 15  0  0  18,2   0,0 
    6 2022  5 16  0  0  18,4   0,0 
    6 2022  5 17  0  0  18,4   0,0 
    6 2022  5 18  0  0  19,6   0,0 
    6 2022  5 19  0  0  20,0   3,3 
    6 2022  5 20  0  0  23,9  12,3 
    6 2022  5 21  0  0  19,0   0,0 
    6 2022  5 22  0  0  18,1   0,1 
    6 2022  5 23  0  0  18,7   7,7 
    6 2022  5 24  0  0  14,5   0,0 
    6 2022  5 25  0  0  15,1   0,0 
    6 2022  5 26  0  0  15,0   0,0 
    6 2022  5 27  0  0  15,4   0,0 
    6 2022  5 28  0  0  13,5   0,0 
    6 2022  5 29  0  0  11,8   0,0 
    6 2022  5 30  0  0  12,8   0,0 
    6 2022  5 31  0  0  15,0   0,0 
